sampleID	group	pond	cage	genotype	mix_type	L-Alanine	L-Arginine	L-Asparagine	L-Aspartic Acid	L-Glutamic acid	L-Glutamine	L-Isoleucine_1	L-Leucine_2	L-Phenylalanine	L-Proline	L-Serine	L-Threonine	L-Tryptophane	L-Valine	Glycine	L-Histidine	L-Tyrosine	Tyramine	Tryptamine	Shikimic acid	Apigenin	Luteolin	IP	IPR	tZ	tZR	cZ	cZR	IAA	Cinnamic acid	Coumaric acid_p	Caffeic acid	Sinapic acid	ABA	SA	JA	JA-Ile	OPDA	Glucose	Fructose	Sucrose	Starch	Cyanidin 3-O-glc	Cyanidin-3-O-(6-O-malonyl-beta-glc)	Chlorogenic acid	Luteolin 7-O-glc	Luteolin 8-C-glc	Apigenin 7-O-glc	Apigenin 8-C-glc	putative Chlorogenic acid isomere
41	w12	2	control	mix	none	3.370816676	34.86932917	240.9174519	30.04086756	20.09509056	17.90770962	1.977987539	0.636734669	1.521228183	0.459113455	4.781586409	4.853579612	1.421882228	3.429319584	0.844769678	1.79444639	0.376392483	0.277351218	0.1878295	2.308607181	0.008386414	0.038889408	6.249210255	15.63956086	13.9094076	12.15655068	3.525394724	59.17936812	644.3199201	9.042389616	2619.822211	528.6208089	2424.363858	74.34022261	1098.518888	269.8491708	36.65645284	1153134.577	5.640126769	5.827221404	27.4714137	30.43819095	1.24974818	964.4271845	1.82342138	10.46459812	9.368094071	3.594824222	10.51178912	0.942172977
42	w12	2	herbivory	mix	none	2.815815389	40.43040933	204.0256476	24.94509242	17.41637756	12.48734893	1.88142313	0.765303726	1.209148057	0.387134867	3.67978525	4.549433957	1.296501087	3.218360481	0.593890308	1.445216412	0.404632328	0.249016046	0.12321364	1.866605702	0.007898601	0.037905818	6.478919831	11.79312405	14.23567473	8.833711505	4.937646016	52.10852285	817.205138	8.067684995	2564.261441	308.6882598	2057.935397	86.77592253	914.8710032	116.2532073	25.0156426	1896064.892	3.941482205	4.073244153	28.86519351	47.38420801	2.115521346	918.1176471	1.087778152	11.3504914	10.70013268	3.137762807	10.16226649	0.959485599
43	w12	3	control	mix	none	4.467649389	21.20563407	214.1190906	23.38961021	18.61991616	17.463064	1.35907605	0.418634533	0.921388541	0.370996257	3.529477511	3.733695616	0.892492284	2.313026584	1.193079648	0.906838459	0.245077651	0.210173844	0.125143289	2.122782248	0.01733209	0.075861005	6.330658784	43.56583918	25.78706426	19.4453034	4.732179388	67.34193867	610.3854877	7.880655439	4528.48249	1063.377798	1746.785319	127.3281971	746.7591438	341.3459406	54.39231693	945746.0406	10.85846968	12.27683364	14.53277712	30.88068724	1.28741237	1272.489796	3.043791978	10.73342491	9.25217404	4.334433713	12.93910968	0.666907211
44	w12	3	herbivory	mix	none	2.618567443	34.23330488	204.6307433	21.95759076	16.6238161	12.82589134	1.667788147	0.578826985	0.964125577	0.362112232	3.727948971	3.683468835	1.341520745	2.71082808	0.763716709	1.118666632	0.297593813	0.309609521	0.147716981	1.845327979	0.005151719	0.0287694	8.013436089	11.26249488	13.69206276	9.416443326	4.204857198	50.66143216	591.4520527	7.543148968	2451.79021	426.5970483	1286.913473	104.045778	787.9941213	226.3599336	29.56974714	1273272.81	3.278615892	4.40666451	29.36175602	68.22225921	3.391830338	1524.271845	1.679397835	13.05757902	12.15508517	3.475547624	10.45215082	1.427932946
45	w12	4	control	mix	none	2.99041028	20.18937289	173.2055694	21.58376085	17.44352994	12.67416187	1.497378304	0.520724793	1.446407962	0.388638014	3.357225358	3.657919284	1.07110812	2.619496171	0.660599062	1.110682403	0.304412957	0.149943698	0.13662653	1.769624377	0.007471102	0.038595347	7.197187473	16.61920305	17.02556085	11.59560917	4.004694141	60.53147759	709.4745652	8.042637287	3080.170161	831.621689	1981.157436	93.62140505	805.8274867	478.7626871	49.4366238	1506555.351	5.812674446	6.239088945	24.25415605	47.12033733	1.319087496	1162.64	2.923081699	9.905704982	8.79272046	3.618298719	11.50006938	0.834695474
46	w12	4	herbivory	mix	none	2.649379289	32.30800792	168.4552916	21.49002953	17.34896711	9.0977083	2.185687437	0.701344792	1.220430285	0.431214108	3.709266823	3.935096985	1.708024298	3.377203354	0.518232806	1.172497885	0.456745763	0.275083215	0.10510665	2.1849358	0.006651956	0.043785357	8.99237247	14.23458995	17.51838948	9.49081001	4.427300981	53.17116322	870.5299343	7.714580106	3431.217347	417.252477	2249.820587	52.0589603	726.6943547	505.9574421	37.78544175	1919903.308	7.741486214	10.04428276	35.26999675	32.70838988	2.075757873	1053.514563	0.601522994	10.95430064	10.33052322	2.60989412	7.15857186	0.914127604
47	w12	5	control	mix	none	4.701977555	23.50459869	287.7669067	29.53935826	20.14986843	11.9442783	1.802123982	0.536671848	1.785997765	0.400301324	5.331431095	4.349174312	1.247621199	2.932658128	0.893875213	1.781685725	0.2853621	0.11272595	0.129768039	2.03386258	0.006453599	0.024510126	7.825185141	15.1110061	12.67162376	10.4074402	3.584421281	45.52247425	771.6079816	8.418854176	2049.674815	491.7151568	1985.596896	57.25220173	742.1192857	221.5568141	30.05049689	1027749.451	5.566599673	4.808467967	28.81761742	33.61910906	1.581092889	1224.242424	2.729326222	9.612697743	8.269140398	3.613544203	10.21753686	1.303725609
48	w12	5	herbivory	mix	none	2.481061616	28.81026641	161.8719256	17.80000667	13.96576318	10.01678924	1.095200033	0.445825026	0.756599309	0.568827156	3.489304253	2.886643264	1.238127452	2.161290339	0.798690784	0.778231654	0.286759668	0.181484761	0.13178531	2.081506583	0.009300995	0.060361134	8.942988858	15.47533813	19.10202375	10.41994726	3.475858378	36.62113103	465.506908	7.386964228	2770.196526	375.4964647	2072.639463	177.5790038	543.7944826	129.5035163	21.93003139	1698858.93	8.018952305	12.60785899	35.62540009	92.48063195	3.468407652	1340.737864	0.779963124	13.53931326	12.44765947	3.706556216	10.46059359	1.277836222
49	w12	6	control	mix	none	4.081922566	27.97225932	260.3149778	23.81982619	15.99377756	16.48370928	1.820274982	0.602895285	1.057380837	0.301064842	3.10989714	4.149528196	1.083038539	2.814652784	0.845367298	1.295724128	0.302371506	0.329607075	0.199136229	2.141522401	0.005280276	0.018363053	13.40788351	10.56918624	10.527453	8.199168216	4.011373984	46.1778355	621.6512184	7.616879064	1869.308743	443.7320316	1806.057581	226.8075688	753.3956973	463.7382847	95.57284661	807748.5377	4.295392408	5.506339047	25.41359379	55.31143818	1.698952755	1049.568627	3.622385363	8.166217555	7.669964815	3.135041889	10.66128288	1.145558831
50	w12	6	herbivory	mix	none	6.2219328	28.65196842	205.4016937	25.0996179	15.49692278	14.20564594	1.953593895	1.02249936	1.045864275	0.92767291	11.47420775	5.245722053	1.391894434	3.433445667	5.569688951	1.09316983	0.720938629	0.444650481	0.1541123	2.370735443	0.040958804	0.263003257	14.46818727	10.2247712	14.65831311	9.248278326	5.574578444	39.48096024	659.5028754	5.478247612	2565.517572	379.9830208	1634.696952	304.4212643	745.7312318	550.1305718	68.91058919	1023186.247	4.392028765	6.396832048	30.74313918	66.70051609	2.506332247	1041.28	1.611465633	10.21615594	10.02810116	2.918728896	9.607289884	1.205661962
51	w12	7	control	mix	none	5.044493049	32.25110799	243.324607	27.61828662	18.27286199	15.08515565	1.819695234	0.656627181	1.451754231	0.400356233	4.477848884	4.731941603	1.30694527	2.801328127	0.659366622	2.045703938	0.344851775	0.238041214	0.186767907	2.161913048	0.007366026	0.031593449	18.25104123	12.42472591	13.51795854	8.98541813	4.245011563	51.01334522	653.3226683	4.902947954	1399.339157	350.4662513	1432.782655	212.994061	709.5996938	673.0280459	95.08415014	1561829.166	5.258013912	6.724010269	29.79038325	49.40359402	1.771691466	1205.592233	2.390527788	9.662227384	8.665500007	3.402436817	10.09917113	1.116525755
52	w12	7	herbivory	mix	none	3.264804713	30.49794745	212.4836064	20.97670341	14.2028225	10.97031152	1.460034068	0.531366878	0.745751943	0.33164438	3.834593745	3.337806701	1.218180079	2.143323889	0.595918488	0.852720873	0.275543494	0.395977788	0.190887866	2.321487671	0.004600361	0.031252037	15.25549765	8.754808749	10.89909147	8.318639464	4.991792794	45.27506304	330.6062219	4.741014074	2155.614604	318.5504126	901.0934973	242.7461292	486.876935	460.2423344	53.49594631	1058269.047	4.427043619	5.285521585	30.77294982	66.56846629	3.643316986	1375.372549	2.167144507	11.83467455	12.29979123	3.497830975	13.34664769	1.571965531
53	w12	8	control	mix	none	4.307132807	32.66966327	223.9379161	25.98291379	18.23146168	11.620534	1.870824469	0.593550708	1.299830686	0.390167693	3.678072427	4.301297851	1.193724692	2.775552181	1.015829739	1.271273895	0.277213935	0.216068203	0.112206089	1.743517857	0.006008023	0.035585669	9.212467718	32.15226026	12.44522679	15.52506596	4.169160099	49.4205668	784.3733483	5.751873321	1795.836644	462.2251372	1716.654528	156.5709091	455.60793	622.2012763	144.958182	842341.8109	9.888827656	11.43115739	23.06541631	52.31498315	1.714780743	1154.4	2.233743801	10.51893483	8.849458049	3.445487765	8.733058883	1.398247757
54	w12	8	herbivory	mix	none	3.295249418	35.17456693	224.8938658	21.19848368	14.04869762	13.9964105	1.348131372	0.493676654	0.662227774	0.347503133	3.510143817	2.982202033	1.151796601	1.927382328	0.588498734	0.72914892	0.250955631	0.474076925	0.172712733	2.045090133	0.005234817	0.029577761	9.139235911	10.9922159	12.79819312	9.401716424	5.237103897	37.94321076	242.5860274	5.654567369	2425.363214	248.3075839	852.6834467	203.0885611	506.9202779	648.2275288	137.4076953	822711.4583	4.619844716	5.807406081	31.47918903	108.1849287	4.159564374	1564.64	1.649849991	12.2779785	12.83161604	3.62977011	14.4313798	1.403058431
55	w12	9	control	mix	none	3.925448674	34.67787495	227.7411123	27.09036483	17.00808737	11.2465715	1.866046829	0.604157096	1.800426461	0.380071541	3.954924769	5.161868671	1.485826438	2.851345767	0.971120822	1.989154565	0.335370688	0.20479566	0.141725607	1.695053803	0.011448742	0.052266803	6.387983942	48.35908251	17.90707772	17.94471297	2.62087395	75.96200758	1057.923808	6.836280324	2928.116093	561.3165065	2513.884043	88.84687199	407.9685551	382.3366373	66.98868494	1414874.016	10.52776329	10.44375432	19.70029002	28.10550646	0.750377418	645.4949495	2.783835202	8.583988779	7.169063398	2.942978048	8.024553785	1.070274528
56	w12	9	herbivory	mix	none	4.936120639	36.41467267	250.6427643	28.94691677	17.16153627	17.35454849	1.766054044	0.772361967	1.225316606	0.650364365	7.221659175	4.902990582	1.607492317	3.049685556	1.973268624	1.432599979	0.451172235	0.331632643	0.116505729	2.074674666	0.019368322	0.16001104	6.844110024	18.998485	25.15423442	11.70236674	3.744519837	65.20683406	772.781731	7.854795507	4028.456617	452.2054138	2761.151364	135.2672299	1799.838091	407.3638617	74.56869521	2899380.455	6.950192737	7.06680253	25.56490808	57.45576789	2.065121326	1009.69697	0.892442008	11.85484354	11.27831236	3.081651428	9.800021586	0.923075428
57	w12	10	control	mix	none	3.607037974	23.69449277	258.9476069	26.98907198	20.30770176	12.82468164	1.786176427	0.637482169	1.282212896	0.390276849	4.609748705	4.246042746	1.374629776	2.47246576	0.763595139	1.302994525	0.359403317	0.29954798	0.191985622	2.732373838	0.005250386	0.021825932	7.921848985	13.07083422	9.781173904	7.557545878	4.902176893	53.36744471	690.0220001	7.519474175	2308.207706	539.2617108	2540.986072	59.71347778	760.7424749	227.6845724	24.66511328	1237184.136	5.443981926	6.736700834	31.21236462	34.55121795	1.133347196	893.3061224	3.567717719	7.986665829	7.362195514	3.058156516	10.36012351	1.219477098
58	w12	10	herbivory	mix	none	2.317701891	27.02158	115.0411827	15.33114364	11.91674857	7.401173909	1.043834395	0.431618596	0.519604485	0.253710512	2.611201221	2.392552006	0.875130013	1.39172376	0.532899933	0.543130043	0.212749309	0.186374184	0.08178067	1.783992487	0.005288397	0.02973056	8.093247378	7.93744539	12.55218504	8.592530774	3.199861552	35.64279219	514.3349421	5.445645689	2732.245049	316.4650357	1866.641102	245.1996867	509.9950925	167.6793119	22.18145062	920758.4972	4.693614106	6.21472414	30.75371615	80.33236372	3.4970731	1272.862745	0.88036095	12.10545327	11.80791153	2.725997194	8.606808281	1.030631246
